,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
SM C&C,2021-08-04,6000,1055,5100,6220,4905,105583166,21.334681496461073,코스닥 IT,KOSDAQ,8% 이상
SM Life Design,2021-08-04,3505,175,3300,3820,3190,89653053,5.255255255255255,제조업,KOSDAQ,4 ~ 6%
케이사인,2021-08-04,2945,430,2520,3145,2490,88931292,17.09741550695825,코스닥 IT,KOSDAQ,8% 이상
인터파크,2021-08-04,9480,310,9560,10450,9460,53832536,3.380588876772083,유통,KOSDAQ,2 ~ 4%
바이오로그디바이스,2021-08-04,5500,200,5150,5920,5000,49910530,3.7735849056603774,코스닥 IT,KOSDAQ,2 ~ 4%
이아이디,2021-08-04,527,11,519,560,513,48869020,2.131782945736434,유통업,KOSPI,2 ~ 4%
지나인제약,2021-08-04,1685,145,1515,1770,1470,48296596,9.415584415584416,제조업,KOSDAQ,8% 이상
이트론,2021-08-04,700,30,671,738,668,40570458,4.477611940298507,코스닥 IT,KOSDAQ,4 ~ 6%
신원,2021-08-04,2340,245,2095,2405,2095,39018091,11.694510739856803,섬유의복,KOSPI,8% 이상
럭슬,2021-08-04,140,28,162,162,109,36973083,25.0,제조업,KOSDAQ,8% 이상
대한전선,2021-08-04,2595,135,2435,2650,2435,27337993,5.487804878048781,전기전자,KOSPI,4 ~ 6%
아이비김영,2021-08-04,4735,-35,5250,5680,4725,26551342,-0.7337526205450734,기타서비스,KOSDAQ,0 ~ -2%
삼성전자,2021-08-04,82900,1500,82200,83100,81800,25364166,1.8427518427518428,전기전자,KOSPI,0 ~ 2%
이구산업,2021-08-04,4415,205,4480,4860,4345,25020036,4.86935866983373,철강금속,KOSPI,4 ~ 6%
덱스터,2021-08-04,13050,2200,11150,13850,11100,24120597,20.276497695852534,오락·문화,KOSDAQ,8% 이상
젬백스링크,2021-08-04,1805,115,1690,1945,1690,20427580,6.804733727810651,유통,KOSDAQ,6 ~ 8%
큐로컴,2021-08-04,1685,185,1480,1870,1465,19357754,12.333333333333334,코스닥 IT,KOSDAQ,8% 이상
코세스,2021-08-04,13150,3000,11900,13150,11400,17197660,29.55665024630542,코스닥 IT,KOSDAQ,8% 이상
한화에스비아이스팩,2021-08-04,7050,900,6350,7580,6010,16942752,14.634146341463413,금융,KOSDAQ,8% 이상
케이피엠테크,2021-08-04,3265,95,3180,3360,3160,14476721,2.996845425867508,제조업,KOSDAQ,2 ~ 4%
판타지오,2021-08-04,122,3,119,122,118,13781518,2.5210084033613445,오락·문화,KOSDAQ,2 ~ 4%
대창,2021-08-04,2640,60,2620,2720,2620,12959730,2.3255813953488373,철강금속,KOSPI,2 ~ 4%
드림시큐리티,2021-08-04,5650,420,5230,5870,5230,12287681,8.030592734225621,제조업,KOSDAQ,8% 이상
아진엑스텍,2021-08-04,11800,1650,10350,13000,10300,12276423,16.25615763546798,코스닥 IT,KOSDAQ,8% 이상
HMM,2021-08-04,39500,1900,37000,40000,36550,11780296,5.053191489361701,운수창고업,KOSPI,4 ~ 6%
큐로홀딩스,2021-08-04,666,39,627,734,626,11703593,6.220095693779904,유통,KOSDAQ,6 ~ 8%
TYM,2021-08-04,2145,90,2075,2215,2060,11598590,4.37956204379562,기계,KOSPI,4 ~ 6%
시스웍,2021-08-04,2320,-70,2405,2500,2310,10942721,-2.928870292887029,제조업,KOSDAQ,-2 ~ -4%
갤럭시아에스엠,2021-08-04,2390,45,2435,2600,2350,10860320,1.9189765458422177,서비스업,KOSPI,0 ~ 2%
신성통상,2021-08-04,4140,130,4020,4400,4020,9614912,3.2418952618453867,유통업,KOSPI,2 ~ 4%
제이엠아이,2021-08-04,2310,225,2105,2535,2105,9143111,10.79136690647482,제조업,KOSDAQ,8% 이상
한빛소프트,2021-08-04,6580,680,6000,7130,5950,8906718,11.525423728813559,코스닥 IT,KOSDAQ,8% 이상
국전약품,2021-08-04,9460,0,9480,9920,9010,8859858,0.0,제조업,KOSDAQ,0 ~ -2%
이디티,2021-08-04,2945,175,2735,3005,2735,8596805,6.31768953068592,제조업,KOSDAQ,6 ~ 8%
한국비엔씨,2021-08-04,19450,150,19150,20000,18150,8526212,0.7772020725388601,제조업,KOSDAQ,0 ~ 2%
